CODIGO BIEN,ORDEN DE  COMPRA,PRODUCTO,JARDIN 
8042331,1576-612-CM19,IMPRESORA L3110,ARTUTO PRAT
8042332,1576-612-CM19,IMPRESORA L3110,CRUZ DEL SUR
8042333,1576-612-CM19,IMPRESORA L3110,UBB COLLAO
8042334,1576-612-CM19,IMPRESORA L3110,PETER PAN
8042335,1576-612-CM19,IMPRESORA L3110,LA PEÑA
8042336,1576-612-CM19,IMPRESORA L3110,VILLA CORDILLERA
8042337,1576-612-CM19,IMPRESORA L3110,MAGALLANES
8042338,1576-612-CM19,IMPRESORA L3110,GABRIELA MISTRAL
8042339,1576-612-CM19,IMPRESORA L3110,LOS BLOQUES
8042340,1576-612-CM19,IMPRESORA L3110,HERENCIA DE HUEPIL
8042341,1576-612-CM19,IMPRESORA L3110,RECONQUISTA
8042342,1576-612-CM19,IMPRESORA L3110,FRANCISCO COLOANE
8042343,1576-612-CM19,IMPRESORA L3110,CORCOVADO
8042437,1576-679-CM19,IMPRESORA L6191,PEQUEÑOS CONQUISTADORES
8042438,1576-679-CM19,IMPRESORA L6191,PEUMAYEN
8042439,1576-679-CM19,IMPRESORA L6191,TESOROS DEL MAR
8042440,1576-679-CM19,IMPRESORA L6191,LELIANTU
8042441,1576-679-CM19,IMPRESORA L6191,MICHELLE BACHELET
8042442,1576-679-CM19,IMPRESORA L6191,TREN DE MIS SUEÑOS
8042443,1576-679-CM19,IMPRESORA L6191,KETRAWE
8042444,1576-679-CM19,IMPRESORA L6191,FUTURA ESPERANZA
8042445,1576-679-CM19,IMPRESORA L6191,ELUNEY
8042446,1576-679-CM19,IMPRESORA L6191,VILLA CAP
8042447,1576-679-CM19,IMPRESORA L6191,EL ENCANTO DE SAYEN
8042448,1576-679-CM19,IMPRESORA L6191,CALERO SUR
8042449,1576-679-CM19,IMPRESORA L6191,ARTUTO PRAT
8042450,1576-679-CM19,IMPRESORA L6191,UBB COLLAO
8042451,1576-679-CM19,IMPRESORA L6191,LA PEÑA
8042452,1576-679-CM19,IMPRESORA L6191,MAGALLANES 
8042453,1576-679-CM19,IMPRESORA L6191,LOS BLOQUES
8042454,1576-679-CM19,IMPRESORA L6191,21 DE MAYO
8042455,1576-679-CM19,IMPRESORA L6191,ALONDRA
8042456,1576-679-CM19,IMPRESORA L6191,AYELEN DE NONGUEN
8042457,1576-679-CM19,IMPRESORA L6191,BALDOMERO LILLO
8042458,1576-679-CM19,IMPRESORA L6191,BARQUITO DE ILUSIONES
8042459,1576-679-CM19,IMPRESORA L6191,BERTA
8042460,1576-679-CM19,IMPRESORA L6191,BOCA LEBU
8042461,1576-679-CM19,IMPRESORA L6191,BRISAS DEL MAR
8042462,1576-679-CM19,IMPRESORA L6191,CABO AROCA
8042463,1576-679-CM19,IMPRESORA L6191,CARACOLITO
8042464,1576-679-CM19,IMPRESORA L6191,CHIGUAY
8042465,1576-679-CM19,IMPRESORA L6191,COSTANERA SUR
8042466,1576-679-CM19,IMPRESORA L6191,EL PRINCIPITO
8042467,1576-679-CM19,IMPRESORA L6191,EL PUENTE
8042468,1576-679-CM19,IMPRESORA L6191,GOTITAS DE AMOR
8042469,1576-679-CM19,IMPRESORA L6191,LA GLORIA
8042470,1576-679-CM19,IMPRESORA L6191,LA LEONERA
8042471,1576-679-CM19,IMPRESORA L6191,LAS ABEJITAS
8042472,1576-679-CM19,IMPRESORA L6191,LAS ABEJITAS SANTA BARBARA
8042473,1576-679-CM19,IMPRESORA L6191,MATIAS COUSIÑO
8042474,1576-679-CM19,IMPRESORA L6191,MI MUNDO DE DULZURA
8042475,1576-679-CM19,IMPRESORA L6191,MIYALI
8042476,1576-679-CM19,IMPRESORA L6191,NIÑOS EN ACCION
8042477,1576-679-CM19,IMPRESORA L6191,NUESTRA SEÑORA DE LAS NIEVES
8042478,1576-679-CM19,IMPRESORA L6191,PASO A PASITO
8042479,1576-679-CM19,IMPRESORA L6191,PATRICIO LYNCH
8042480,1576-679-CM19,IMPRESORA L6191,PEQUEÑA PEWEN
8042481,1576-679-CM19,IMPRESORA L6191,LORD COCHRANE
8042482,1576-679-CM19,IMPRESORA L6191,PRESIDENTE KENNEDY
8042483,1576-679-CM19,IMPRESORA L6191,RENE SCHNEIDER
8042484,1576-679-CM19,IMPRESORA L6191,SALACUNA RENACER
8042485,1576-679-CM19,IMPRESORA L6191,WALT DISNEY
8042975,1576-667-CM19,IMPRESORA L3110,TRENCITO DE COIHUE
8042976,1576-667-CM19,IMPRESORA L3110,SALACUNA RENACER
8042977,1576-667-CM19,IMPRESORA L3110,MI PEQUEÑO MUNDO
8042978,1576-667-CM19,IMPRESORA L3110,SAN RAFAEL
8042979,1576-667-CM19,IMPRESORA L3110,ALIWEN PU PICHIKECHE AYINCO
8042980,1576-667-CM19,IMPRESORA L3110,LOS CISNES
8042981,1576-667-CM19,IMPRESORA L3110,TRAWUN ANTU
8042982,1576-667-CM19,IMPRESORA L3110,ANTU RAYEN
8042983,1576-667-CM19,IMPRESORA L3110,SOL NACIENTE
8042984,1576-667-CM19,IMPRESORA L3110,HIJOS DE LA TIERRA
8042985,1576-667-CM19,IMPRESORA L3110,HEROES DEL SOL
8042986,1576-667-CM19,IMPRESORA L3110,FLORECER DEL BOSQUE
8042987,1576-667-CM19,IMPRESORA L3110,ESPUMA DE MAR
8042988,1576-667-CM19,IMPRESORA L3110,VILLA DON CARLOS
8042989,1576-667-CM19,IMPRESORA L3110,PEQUEÑOS HISTORIADORES
8042990,1576-667-CM19,IMPRESORA L3110,GIRASOL
8042991,1576-667-CM19,IMPRESORA L3110,ISLA DE LOS TESOROS
8042992,1576-667-CM19,IMPRESORA L3110,BOTECITO DE LENGA
8042993,1576-667-CM19,IMPRESORA L3110,CHACAYAL NORTE
8042994,1576-667-CM19,IMPRESORA L3110,RENACER VILLA CAPONI
8046253,1576-1440-CM19,IMPRESORA EPSON XP-241,GOTITAS DE FE
8046254,1576-1440-CM19,IMPRESORA EPSON XP-241,GRANERILLOS 
8046255,1576-1440-CM19,IMPRESORA EPSON XP-241,SEMBRADORES DE LUZ  
8046256,1576-1440-CM19,IMPRESORA EPSON XP-241,YO NACI CON UN TALENTO
8046257,1576-1440-CM19,IMPRESORA EPSON XP-241,MIS PRIMEROS PASOS
8046258,1576-1440-CM19,IMPRESORA EPSON XP-241,HIJOS DEL MAR
8046259,1576-1440-CM19,IMPRESORA EPSON XP-241,SONRISAS DE NIÑOS
8046260,1576-1440-CM19,IMPRESORA EPSON XP-241,LUZ DE ESPERANZA
