CODIGO JUNJI;CODIGO JUNJI ANTERIOR;NOMBRE;COMUNA
8101001;;PEQUEÑA PEWEN;CONCEPCION
8101002;;CARACOLITO;CONCEPCION
8101003;;NIÑOS EN ACCION;CONCEPCION
8101005;;PETER PAN;CONCEPCION
8101006;;COSTANERA SUR;CONCEPCION
8101009;;COMUNICACIONAL-PREMATUROS;CONCEPCION
8101010;;LOS DUENDECITOS TRAVIESOS;CONCEPCION
8101016;;RAYITO DE SOL;CONCEPCION
8101022;;FABIOLA;CONCEPCION
8101023;;MI PEQUEÑO PUDU;CONCEPCION
8101025;;ARAUCARIA;CONCEPCION
8101028;;HERMANOS EN CRISTO;CONCEPCION
8101029;;AGUITA DE LA PERDIZ;CONCEPCION
8101030;;SAGRADA FAMILIA;CONCEPCION
8101031;;VILLA CAP;CONCEPCION
8101032;;UBB COLLAO;CONCEPCION
8101033;;MAGALLANES;CONCEPCION
8101036;;RUCAHUE;CONCEPCION
8101037;;JUAN MARTINEZ DE ROZAS;CONCEPCION
8101038;;LORENZO ARENAS;CONCEPCION
8101040;;SEMILLITAS DE ANDALIEN;CONCEPCION
8101041;;LOS CISNES;CONCEPCION
8101042;;LO GALINDO;CONCEPCION
8101044;;HIJOS DE LA TIERRA;CONCEPCION
8102001;;BERTA;CORONEL
8102006;;PEDACITO DE CIELO;CORONEL
8102008;;EL PESCADOR;CORONEL
8102013;;KELEN;CORONEL
8102020;;PINDAL;CORONEL
8102021;;LOIDA;CORONEL
8102023;;FRENTE AL MAR;CORONEL
8102024;;YOBILITO;CORONEL
8102025;;PIECESITOS DE NIÑOS;CORONEL
8102026;;ANDALUE;CORONEL
8102027;;PASITOS DE ANGEL;CORONEL
8102028;;BUEN RETIRO;CORONEL
8102029;;MI PRIMER PASO;CORONEL
8102030;;RINCONCITO DE LUZ;CORONEL
8102031;;MI PEQUEÑO CASTILLO;CORONEL
8102033;;CANTARRANA;CORONEL
8102035;;RAYITO ISLEÑO DE AMOR;CORONEL
8102036;;APRENDIENDO JUNTO A TI;CORONEL
8102037;;RAYITO DE ESPERANZA;CORONEL
8102038;;RINCON DE MIS SUEÑOS;CORONEL
8102039;;AYELEN;CORONEL
8102042;;EL TRENCITO DE MIS SUEÑOS;CORONEL
8102043;;GOTITA DE FE;CORONEL
8102044;;LIBERTAD;CORONEL
8102046;;PEUMAYEN;CORONEL
8102047;;LAS ENCINAS;CORONEL
8102049;;PILEO;CORONEL
8102050;;LA PEÑA;CORONEL
8102051;;SUEÑOS DE ESPERANZA DE G.MISTA;CORONEL
8103001;;CHIGUAY;CHIGUAYANTE
8103002;;LA LEONERA;CHIGUAYANTE
8103003;;HEROES DEL SOL;CHIGUAYANTE
8103005;;LA ESPERANZA;CHIGUAYANTE
8103006;;LA ARAUCANA;CHIGUAYANTE
8103007;;BALMACEDA SAAVEDRA;CHIGUAYANTE
8103009;;FUTURA ESPERANZA;CHIGUAYANTE
8104001;;PASITOS DE AMOR;FLORIDA
8104002;;MANITOS;FLORIDA
8104003;;CUNCUNITA;FLORIDA
8104012;;RAYITO DE LUZ;FLORIDA
