"establecimiento","nombre_categoria","marca","modelo","serie_fabrica","estado_producto","serie_junji","orden_id","id_responsable"
8101098,Almacenamiento,Western Digital,EX4100 My Cloud,WNAG28400388,Asignado,"8039118",47,snavarro
8101098,Almacenamiento,Toshiba,HDWQ140 4TB,"48H2K22TFPBE",Asignado,"8039119",47,snavarro
8101098,Almacenamiento,Toshiba,HDWQ140 4TB,"48I1K2HSFPBE",Asignado,"8039120",47,snavarro
8101098,Almacenamiento,Toshiba,HDWQ140 4TB,"48I1K2HUFPBE",Asignado,"8039121",47,snavarro
8101098,Almacenamiento,Toshiba,HDWQ140 4TB,"48GBK1MCFPBE",Asignado,"8039122",47,snavarro
8203030,Almacenamiento,Toshiba,Canvio Basics,"36R2TV9QT3FB",Asignado,"8026458",48,karla.pinoleo..a
8101001,Almacenamiento,Toshiba,Canvio Basics,"36K1TPR4T3FB",Asignado,,48,rosa.obregon.v
8101002,Almacenamiento,Toshiba,Canvio Basics,"8026401",Asignado,"8026401",48,gloria.rabanal.f
8101003,Almacenamiento,Toshiba,Canvio Basics,"36K3TAQ7T3FB",Asignado,,48,ivonne.delgado.f
8101004,Almacenamiento,Toshiba,Canvio Basics,"8026402",Asignado,"8026402",48,soledad.gonzalez.a
8101005,Almacenamiento,Toshiba,Canvio Basics,"36K3TAQAT3FB",Asignado,,48,loreto.castillo.j
8101006,Almacenamiento,Toshiba,Canvio Basics,"8026403",Asignado,"8026403",48,magaly.rebolledo.s
8101041,Almacenamiento,Toshiba,Canvio Basics,"36R2TV5PT3FB",Asignado,"8026404",48,lenca.soto.s
8101042,Almacenamiento,Toshiba,Canvio Basics,"8026405",Asignado,"8026405",48,karla.alonso.i
8102001,Almacenamiento,Toshiba,Canvio Basics,"8026406",Asignado,"8026406",48,ana.perez.v
8102046,Almacenamiento,Toshiba,Canvio Basics,"8026407",Asignado,"8026407",48,carolina.sanmartin.m
8103001,Almacenamiento,Toshiba,Canvio Basics,"8026408",Asignado,"8026408",48,sara.figueroa.h
8101098,Almacenamiento,Toshiba,Canvio Basics,"8026409",Asignado,,48,lucy.mayorga.o
8106001,Almacenamiento,Toshiba,Canvio Basics,"8026410",Asignado,"8026410",48,emma.melani.v
8106002,Almacenamiento,Toshiba,Canvio Basics,"8026411",Asignado,"8026411",48,cecilia.sanjuan.v
8106003,Almacenamiento,Toshiba,Canvio Basics,"8026412",Asignado,"8026412",48,gladys.munoz.g
8106004,Almacenamiento,Toshiba,Canvio Basics,"8026413",Asignado,"8026413",48,leonor.gutierrez.m
8107001,Almacenamiento,Toshiba,Canvio Basics,"8026414",Asignado,"8026414",48,claudia.inostroza.o
8107002,Almacenamiento,Toshiba,Canvio Basics,"8026415",Asignado,"8026415",48,natividad.otarola.j
8107021,Almacenamiento,Toshiba,Canvio Basics,"8026416",Asignado,"8026416",48,erika.gallegos.r
8107022,Almacenamiento,Toshiba,Canvio Basics,"8026417",Asignado,"8026417",48,loreto.castillo.j
8108001,Almacenamiento,Toshiba,Canvio Basics,"8026418",Asignado,"8026418",48,maria.vega.s
8110005,Almacenamiento,Toshiba,Canvio Basics,"8026419",Asignado,"8026419",48,fabiola.morales.l
8110006,Almacenamiento,Toshiba,Canvio Basics,"8026420",Asignado,"8026420",48,fresia.aviles.g
8111001,Almacenamiento,Toshiba,Canvio Basics,"8026421",Asignado,"8026421",48,jenny.pino.r
8111028,Almacenamiento,Toshiba,Canvio Basics,"8026422",Asignado,"8026422",48,romina.matamala.p
8112002,Almacenamiento,Toshiba,Canvio Basics,"8026425",Asignado,"8026425",48,celina.riquelme.f
8112003,Almacenamiento,Toshiba,Canvio Basics,"8026426",Asignado,"8026426",48,margarita.fierro.s
8112004,Almacenamiento,Toshiba,Canvio Basics,"36K3TAMNT3FB",Asignado,,48,angelica.lizama.l
8112005,Almacenamiento,Toshiba,Canvio Basics,"8026427",Asignado,"8026427",48,jacqueline.claveria.r
8112006,Almacenamiento,Toshiba,Canvio Basics,"8026428",Asignado,"8026428",48,luisa.mena.m
8401004,Almacenamiento,Toshiba,Canvio Basics,"8026449",Asignado,"8026449",48,sandra.brevis.i
8401060,Almacenamiento,Toshiba,Canvio Basics,"8026450",Asignado,"8026450",48,olga.mendez.v
8405017,Almacenamiento,Toshiba,Canvio Basics,"8026451",Asignado,"8026451",48,lidia.fernandez.a
8406001,Almacenamiento,Toshiba,Canvio Basics,"8026452",Asignado,"8026452",48,oriana.soto.n
